country,total_import,total_export
AL,66284,51680
AT,483614,584213
BA,40249,208688
BE,310983,419725
BG,57798,297892
CH,620875,914000
CZ,263789,747112
DE,919132,2127014
DK,403876,403950
EE,132481,103415
ES,278981,480052
FI,307101,167526
FR,443868,2205983
GB,588581,209777
GR,175532,95486
HR,206883,170214
HU,356100,252726
IE,23725,34199
IT,1054319,91871
LT,171828,64998
LU,89013,12407
LV,66777,95831
MD,10531,9577
ME,109318,142157
MK,91592,91269
NL,292325,658523
NO,198882,716556
PL,323722,387588
PT,222818,148625
RO,99427,161350
RS,141567,206865
SE,173538,1135296
SI,183367,279533
SK,300670,331956
TR,33050,78951
UA,29567,14198
XK,43996,37811
